Rank,Target No.,Receptor,Protein,Group,Group_AB,AFS,PS,SS,TPS,Coverage,BS_flag,BS_reason,Robustness_tier,Interpretation
11,10,GPNMB,THBS1,3,A,0.1982884603196233,1.0,,0.5991442301598117,2/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier3,High-BS; cov 2/3; PS-led
12,17,RON / MST1R,THBS1,5,A,0.6584222296008606,0.5333333333333332,,0.5958777814670969,2/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier2,High-BS; cov 2/3; AFS-led
13,13,CD44,THBS1,4,A,0.3454360558364661,0.5769696969696969,0.767,0.5631352509353876,3/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier1,High-BS; cov 3/3; SS-led
14,20,CXCR4,FN1,1,A,0.2637290195858565,,0.857,0.5603645097929282,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier2,High-BS; cov 2/3; SS-led
15,3,EpCAM / EPCAM,CD44,5,A,0.2265869822485463,0.4751515151515151,0.971,0.5575794991333538,3/3,High,Single-pass type I cell-membrane adhesion receptor; also secreted.,Tier1,High-BS; cov 3/3; SS-led
16,19,IGF1R,FN1,1,A,0.2293399644358635,,0.875,0.5521699822179318,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier2,High-BS; cov 2/3; SS-led
17,3,EpCAM / EPCAM,ANXA2,1,A,0.963858538498648,0.1721212121212121,0.469,0.5349932502066199,3/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier2,Medium-BS; cov 3/3; AFS-led
18,5,ICAM1 / CD54,FN1,3,A,0.1497985749095227,,0.904,0.5268992874547614,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
19,13,CD44,LGALS3BP,5,A,0.7544695742269375,0.2642424242424243,0.549,0.522570666156454,3/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier1,High-BS; cov 3/3; AFS-led
20,2,EGFR,ANXA2,1,A,0.2767300385170776,0.3127272727272727,0.958,0.5158191037481168,3/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier2,Medium-BS; cov 3/3; SS-led
21,19,IGF1R,ANXA2,3,A,0.2448343644132957,0.7539393939393939,,0.4993868791763447,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; PS-led
22,15,MET / c-MET,FN1,1,A,0.2372129327745619,,0.745,0.4911064663872809,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
23,17,RON / MST1R,MFGE8,4,A,0.3721013263779922,0.606060606060606,,0.489080966219299,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier2,High-BS; cov 2/3; PS-led
24,4,Tissue Factor / F3,FN1,1,A,0.2469370975647152,,0.711,0.4789685487823576,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
25,13,CD44,ITGB1,2,A,0.2517381371488561,0.2254545454545454,0.957,0.4780642275344671,3/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier1,High-BS; cov 3/3; SS-led
26,20,CXCR4,ITGB1,5,A,0.3314457445069365,0.2521212121212121,0.819,0.4675223188760494,3/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier1,High-BS; cov 3/3; SS-led
27,2,EGFR,SDCBP,5,A,0.2548936225650591,0.2666666666666666,0.856,0.4591867630772419,3/3,Medium,Cytoplasmic PDZ adaptor (syntenin); peripheral membrane but CYTOPLASMIC-facing (argues against outer EV surface).,Tier3,Medium-BS; cov 3/3; SS-led
28,19,IGF1R,ITGB1,2,A,0.2849920498634852,0.2278787878787879,0.836,0.4496236125807576,3/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier3,High-BS; cov 3/3; SS-led
29,5,ICAM1 / CD54,THBS1,5,A,0.2251908898207584,,0.67,0.4475954449103791,2/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier3,High-BS; cov 2/3; SS-led
30,18,CSPG4,FN1,1,A,0.2373253801005681,,0.649,0.4431626900502841,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
31,19,IGF1R,MFGE8,4,A,0.2258805279308576,0.6569696969696969,,0.4414251124502772,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; PS-led
32,3,EpCAM / EPCAM,SDCBP,3,A,0.289089185977816,0.5818181818181818,,0.4354536838979988,2/3,Medium,Cytoplasmic PDZ adaptor (syntenin); peripheral membrane but CYTOPLASMIC-facing (argues against outer EV surface).,Tier3,Medium-BS; cov 2/3; PS-led
33,13,CD44,GAPDH,6,B,0.401874830075194,0.1503030303030303,0.745,0.4323926201260747,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
34,14,AXL,LGALS3BP,5,A,0.2541232556503021,0.6084848484848484,,0.4313040520675752,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; PS-led
35,4,Tissue Factor / F3,THBS1,2,A,0.2669149400980778,0.3951515151515151,0.631,0.4310221517498642,3/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier3,High-BS; cov 3/3; SS-led
36,20,CXCR4,GAPDH,6,B,0.403921898272594,0.2351515151515152,0.635,0.4246911378080363,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
37,1,TROP2 / TACSTD2,ANXA2,1,A,0.7172531315338526,0.1309090909090908,,0.4240811112214717,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; AFS-led
38,12,PD-L1 / CD274,FN1,4,A,0.1835057944917566,,0.65,0.4167528972458783,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
39,8,GLUT5 / SLC2A5,ENO1,10,B,0.3836358156275047,0.1212121212121212,0.745,0.4166159789465419,3/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 3/3; SS-led
40,3,EpCAM / EPCAM,FN1,4,A,0.2358130049766589,,0.581,0.4084065024883294,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
41,8,GLUT5 / SLC2A5,BSG,2,A,0.6139103743247791,0.2012121212121213,,0.4075612477684502,2/3,High,Single-pass type I cell-membrane glycoprotein (basigin/CD147).,Tier3,High-BS; cov 2/3; AFS-led
42,7,MUC1,MFGE8,4,A,0.1110563950945502,,0.702,0.4065281975472751,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; SS-led; weight-sensitive
43,15,MET / c-MET,HSP90AA1,5,A,0.344870250856325,0.1066666666666665,0.768,0.4065123058409972,3/3,Medium,Nuclear/cytosolic chaperone; documented extracellular/cell-membrane (eHSP90) form.,Tier3,Medium-BS; cov 3/3; SS-led
44,5,ICAM1 / CD54,MFGE8,4,A,0.3092968351905494,0.0993939393939393,0.799,0.4025635915281629,3/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 3/3; SS-led
45,3,EpCAM / EPCAM,LGALS3BP,2,A,0.3984338554451618,0.3175757575757575,0.487,0.4010032043403064,3/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 3/3; SS-led
46,1,TROP2 / TACSTD2,LGALS3BP,2,A,0.3964938901474393,0.4048484848484849,,0.4006711874979621,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; PS-led
47,1,TROP2 / TACSTD2,MFGE8,5,A,0.2685244675700725,0.5284848484848483,,0.3985046580274604,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; PS-led
48,15,MET / c-MET,GAPDH,6,B,0.3367186645082275,0.286060606060606,0.568,0.3969264235229445,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
49,4,Tissue Factor / F3,ANXA2,3,A,0.4690200499350865,0.0630303030303031,0.644,0.3920167843217965,3/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 3/3; SS-led
50,9,TEM8 / ANTXR1,ANXA2,5,A,0.6586283657002238,0.1163636363636364,,0.3874960010319301,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; AFS-led
51,6,αvβ3 integrin / ITGAV–ITGB3,GAPDH,6,B,0.2825274389771045,,0.472,0.3772637194885522,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; SS-led
52,3,EpCAM / EPCAM,ENO1,8,B,0.3920231935245624,0.2909090909090909,0.448,0.376977428144551,3/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 3/3; SS-led
53,8,GLUT5 / SLC2A5,ANXA2,3,A,0.4680489069051979,0.2812121212121212,,0.3746305140586595,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; AFS-led
54,3,EpCAM / EPCAM,GAPDH,6,B,0.2962242757090844,0.2351515151515152,0.591,0.3741252636201998,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
55,9,TEM8 / ANTXR1,MFGE8,3,A,0.5865518897350315,0.155151515151515,,0.3708517024432732,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; AFS-led
56,1,TROP2 / TACSTD2,GAPDH,6,B,0.6649098980999798,0.0727272727272727,,0.3688185854136263,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; AFS-led
57,17,RON / MST1R,ITGB1,2,A,0.2944466633378653,0.4412121212121211,,0.3678293922749931,2/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier3,High-BS; cov 2/3; PS-led
58,9,TEM8 / ANTXR1,ITGB1,2,A,0.3513801776808217,0.269090909090909,0.481,0.3671570289239102,3/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier3,High-BS; cov 3/3; SS-led
59,7,MUC1,GAPDH,6,B,0.2243890623150005,,0.508,0.3661945311575003,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; SS-led
60,15,MET / c-MET,LGALS3BP,4,A,0.3169483799865401,0.3999999999999999,,0.3584741899932699,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; PS-led
61,14,AXL,ANXA2,3,A,0.5173633425875402,0.1527272727272728,0.403,0.3576968717716043,3/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 3/3; AFS-led
62,14,AXL,FN1,1,A,0.1792762916823684,,0.534,0.3566381458411842,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
63,1,TROP2 / TACSTD2,ENO1,10,B,0.6401396275465637,0.0703030303030303,,0.355221328924797,2/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 2/3; AFS-led
64,20,CXCR4,ANXA2,3,A,0.4476517634758534,0.0509090909090909,0.559,0.3525202847949814,3/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 3/3; SS-led
65,13,CD44,ENO1,9,B,0.3581483033155193,0.1963636363636364,0.495,0.3498373132263852,3/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 3/3; SS-led
66,16,ROR1,GAPDH,6,B,0.299994854734442,0.3975757575757576,,0.3487853061550998,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; PS-led
67,12,PD-L1 / CD274,ENO1,7,B,0.5265369887507587,0.1672727272727272,,0.346904858011743,2/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 2/3; AFS-led
68,7,MUC1,FN1,3,A,0.1685766365089933,,0.52,0.3442883182544966,2/3,High,Canonical secreted ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; SS-led
69,16,ROR1,ANXA2,3,A,0.3346273079018495,0.3539393939393939,,0.3442833509206217,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; PS-led
70,13,CD44,MFGE8,3,A,0.2689233626701902,0.2327272727272726,0.522,0.3412168784658209,3/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 3/3; SS-led
71,8,GLUT5 / SLC2A5,LGALS3BP,4,A,0.3837618788264104,0.2884848484848484,,0.3361233636556294,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; AFS-led
72,9,TEM8 / ANTXR1,THBS1,4,A,0.5351232293808581,0.1309090909090908,,0.3330161601449744,2/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier3,High-BS; cov 2/3; AFS-led
73,17,RON / MST1R,ENO1,9,B,0.3726772882836504,0.2884848484848484,,0.3305810683842494,2/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 2/3; AFS-led
74,7,MUC1,THBS1,5,A,0.1269612340260384,,0.531,0.3289806170130192,2/3,High,Secreted matricellular; explicit 'Cell surface' annotation.,Tier3,High-BS; cov 2/3; SS-led
75,16,ROR1,ITGB1,2,A,0.2739624554247626,0.3806060606060606,,0.3272842580154115,2/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier3,High-BS; cov 2/3; PS-led
76,2,EGFR,MFGE8,4,A,0.241731694622918,0.1818181818181817,0.554,0.3258499588136999,3/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 3/3; SS-led
77,14,AXL,MFGE8,4,A,0.2304089184557623,0.0412121212121212,0.704,0.3252070132226278,3/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 3/3; SS-led
78,12,PD-L1 / CD274,GAPDH,6,B,0.2882974756780485,0.0969696969696969,0.583,0.3227557242159151,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
79,10,GPNMB,ANXA2,5,A,0.256403013849034,0.3878787878787878,,0.3221409008639109,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; PS-led
80,4,Tissue Factor / F3,LGALS3BP,5,A,0.2854910411011973,0.3563636363636363,,0.3209273387324168,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; PS-led
81,18,CSPG4,MFGE8,3,A,0.1793974672899499,,0.461,0.320198733644975,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; SS-led
82,12,PD-L1 / CD274,SDCBP,3,A,0.5426064402613892,0.0945454545454544,,0.3185759474034217,2/3,Medium,Cytoplasmic PDZ adaptor (syntenin); peripheral membrane but CYTOPLASMIC-facing (argues against outer EV surface).,Tier3,Medium-BS; cov 2/3; AFS-led
83,19,IGF1R,GAPDH,6,B,0.2039582446868448,0.1503030303030303,0.6,0.3180870916632916,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
84,3,EpCAM / EPCAM,EEF1A1,9,B,0.3080534614787121,0.3272727272727272,,0.3176630943757196,2/3,Medium,Cytosolic translation factor; peripheral cell-membrane association (moonlighting).,Tier3,Medium-BS; cov 2/3; PS-led
85,8,GLUT5 / SLC2A5,GAPDH,6,B,0.3373380541836496,0.0993939393939393,0.494,0.3102439978591963,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
86,15,MET / c-MET,ENO1,10,B,0.3689381590341895,0.2472727272727273,,0.3081054431534584,2/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 2/3; AFS-led
87,11,LIV-1 / SLC39A6,SLC3A2,1,A,0.3437435830990298,0.2666666666666666,,0.3052051248828482,2/3,High,Single-pass type II cell-membrane protein (CD98hc).,Tier3,High-BS; cov 2/3; AFS-led
88,5,ICAM1 / CD54,GAPDH,6,B,0.23382621512161,0.0048484848484848,0.663,0.3005582333233649,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
89,2,EGFR,LGALS3BP,2,A,0.239182237585114,0.155151515151515,0.5,0.2981112509122097,3/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 3/3; SS-led
90,14,AXL,GAPDH,6,B,0.2141847879865379,0.1987878787878788,0.471,0.2946575555914722,3/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 3/3; SS-led
91,20,CXCR4,LGALS3BP,2,A,0.3506383804062946,0.2278787878787879,,0.2892585841425412,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; AFS-led
92,4,Tissue Factor / F3,MFGE8,4,A,0.3089630857568102,0.269090909090909,,0.2890269974238596,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; AFS-led
93,11,LIV-1 / SLC39A6,ANXA2,3,A,0.2125188318219123,0.3587878787878787,,0.2856533553048955,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; PS-led
94,8,GLUT5 / SLC2A5,SLC3A2,1,A,0.4283160133055467,0.1406060606060607,,0.2844610369558037,2/3,High,Single-pass type II cell-membrane protein (CD98hc).,Tier3,High-BS; cov 2/3; AFS-led
95,12,PD-L1 / CD274,LGALS3BP,1,A,0.3178485901656203,0.2351515151515152,,0.2765000526585677,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; AFS-led
96,12,PD-L1 / CD274,MFGE8,5,A,0.3795158471555598,0.1721212121212121,,0.2758185296383859,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; AFS-led
97,12,PD-L1 / CD274,ANXA2,2,A,0.4587847056479197,0.0848484848484848,,0.2718165952482022,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; AFS-led
98,15,MET / c-MET,ANXA2,3,A,0.3613250006799563,0.1818181818181817,,0.271571591249069,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; AFS-led
99,19,IGF1R,LGALS3BP,5,A,0.2053108367834824,0.3369696969696969,,0.2711402668765896,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; PS-led
100,14,AXL,ITGB1,2,A,0.2909726923898724,0.2448484848484848,,0.2679105886191786,2/3,High,Single-pass type I cell-membrane integrin (extracellular domain).,Tier3,High-BS; cov 2/3; AFS-led
101,9,TEM8 / ANTXR1,GAPDH,6,B,0.3017078844484792,0.2254545454545454,,0.2635812149515123,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; AFS-led
102,20,CXCR4,MFGE8,4,A,0.2539664733021068,0.2715151515151515,,0.2627408124086292,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; PS-led
103,5,ICAM1 / CD54,ITGA6,2,A,0.2743495143535716,0.0824242424242424,0.426,0.2609245855926047,3/3,High,Single-pass type I cell-membrane integrin + lipid anchor.,Tier3,High-BS; cov 3/3; SS-led
104,17,RON / MST1R,GAPDH,6,B,0.3718167809679071,0.1454545454545454,,0.2586356632112263,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; AFS-led
105,10,GPNMB,LGALS3BP,1,A,0.2504265952905417,0.24,,0.2452132976452708,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; AFS-led
106,17,RON / MST1R,ANXA2,3,A,0.3534385931307151,0.1333333333333333,,0.2433859632320242,2/3,Medium,Secreted/ECM but NO signal peptide (unconventional); dual cytosolic — documented cell-surface translocation.,Tier3,Medium-BS; cov 2/3; AFS-led
107,16,ROR1,LGALS3BP,4,A,0.2829581847847644,0.1987878787878788,,0.2408730317863215,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; AFS-led
108,19,IGF1R,ENO1,7,B,0.2467257673678229,0.2327272727272726,,0.2397265200475477,2/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 2/3; AFS-led
109,11,LIV-1 / SLC39A6,SDCBP,5,A,0.1380974841208673,0.3272727272727272,,0.2326851056967972,2/3,Medium,Cytoplasmic PDZ adaptor (syntenin); peripheral membrane but CYTOPLASMIC-facing (argues against outer EV surface).,Tier3,Medium-BS; cov 2/3; PS-led
110,10,GPNMB,ENO1,9,B,0.3017460156777046,0.16,,0.2308730078388522,2/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 2/3; AFS-led
111,1,TROP2 / TACSTD2,SDCBP,3,A,0.3380501678387828,0.1163636363636364,,0.2272069021012096,2/3,Medium,Cytoplasmic PDZ adaptor (syntenin); peripheral membrane but CYTOPLASMIC-facing (argues against outer EV surface).,Tier3,Medium-BS; cov 2/3; AFS-led
112,11,LIV-1 / SLC39A6,GAPDH,6,B,0.2345391582865098,0.2157575757575757,,0.2251483670220427,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; AFS-led
113,4,Tissue Factor / F3,GAPDH,6,B,0.3733037337581656,0.0630303030303031,,0.2181670183942343,2/3,Medium,Primarily cytosolic glycolytic enzyme; UniProt lists generic 'Membrane' (moonlighting); surface presentation conditional.,Tier3,Medium-BS; cov 2/3; AFS-led
114,20,CXCR4,ENO1,10,B,0.3119526982527539,0.1090909090909091,,0.2105218036718315,2/3,Medium,Primarily cytosolic glycolytic enzyme; documented plasma-membrane translocation (plasminogen receptor).,Tier3,Medium-BS; cov 2/3; AFS-led
115,10,GPNMB,MFGE8,4,A,0.2681097917891121,0.1430303030303029,,0.2055700474097074,2/3,High,"Secreted, peripheral-membrane; binds phosphatidylserine on outer EV leaflet (EV-surface opsonin).",Tier3,High-BS; cov 2/3; AFS-led
116,11,LIV-1 / SLC39A6,LGALS3BP,4,A,0.257734894209319,0.1503030303030303,,0.2040189622561746,2/3,High,Canonical secreted/ECM glycoprotein (signal peptide).,Tier3,High-BS; cov 2/3; AFS-led
117,8,GLUT5 / SLC2A5,SDCBP,5,A,0.3427925473113627,0.0557575757575758,,0.1992750615344692,2/3,Medium,Cytoplasmic PDZ adaptor (syntenin); peripheral membrane but CYTOPLASMIC-facing (argues against outer EV surface).,Tier3,Medium-BS; cov 2/3; AFS-led
